"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"3/11/2015","Acorns Investmen Web","Acorns Investmen WEB PMTSPPD ID: 9000142693","800.00","credit","Transfer","Chase Checking","",""
"3/10/2015","Spray paint","LOWES #02211*","19.20","debit","Unplanned","Chase Amazon Rewards CC","",""
"3/10/2015","Com Tam Thanh","COM TAM THANH","22.00","debit","Restaurants","Chase Amazon Rewards CC","",""
"3/10/2015","Comcast","COMCAST CALIFORNIA","34.99","debit","Internet","Chase Amazon Rewards CC","",""
"3/10/2015","N & S Investment","Acorns Investmen WEB PMTS   H8F8V2          WEB ID: 9000142693","5.98","debit","Auto & Transport","Chase Checking","",""
"3/09/2015","Transfer from Chase Checking","Transfer from Chase checking","1500.00","credit","Transfer","Simple Account","",""
"3/09/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2314115        WEB ID: 1743132639","18.47","debit","Investment","Chase Checking","",""
"3/09/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2314139        WEB ID: 1743132639","43.86","debit","Investment","Chase Checking","",""
"3/09/2015","Check 1538","CHECK 1538","508.00","debit","Send to family","Chase Checking","",""
"3/09/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2314137        WEB ID: 1743132639","25.00","debit","Investment","Chase Checking","",""
"3/09/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2315274        WEB ID: 1743132639","30.00","debit","Investment","Chase Checking","",""
"3/09/2015","Transfer to Robinhood","Apex Clearing    ACH        10020989        WEB ID: 1561673990","1000.00","debit","Transfer","Chase Checking","",""
"3/09/2015","Capital One N","CAPITAL ONE N.A. CAPITALONEPPD ID: 1510394779","3124.49","credit","Transfer","Chase Checking","",""
"3/09/2015","99 Ranch","99 RANCH #1772","19.35","debit","Groceries","Chase Amazon Rewards CC","",""
"3/09/2015","Computer History Museum","COMPUTER HISTORY M","30.00","debit","Unplanned","Chase Amazon Rewards CC","",""
"3/08/2015","Chick-Fil-A","CHICK-FIL-A #02772","15.96","debit","Fast Food","Chase Amazon Rewards CC","",""
"3/06/2015","Payback Tiffany","CHECK 200","900.00","debit","Transfer","Chase Checking","",""
"3/06/2015","Solano","CHECK 200","1145.00","debit","Mortgage & Rent","Chase Checking","",""
"3/06/2015","Pho Avenue","PHO AVENUE","21.00","debit","Restaurants","Chase Amazon Rewards CC","",""
"3/06/2015","Intuit TurboTax","INTUIT *TURBOTAX","39.99","debit","Unplanned","Chase Amazon Rewards CC","",""
"3/06/2015","Acorns","Acorns Investmen WEB PMTS   CHDZT2          WEB ID: 9000142693","12.94","debit","Investment","Chase Checking","",""
"3/06/2015","Return medicine to Walgreens","WALGREENS #689 MOUNTAIN VIEW CA03/05","46.75","credit","Unplanned","Chase Checking","",""
"3/05/2015","Cafe Latte","CAFE LATTEA","11.75","debit","Coffee Shops","Chase Amazon Rewards CC","",""
"3/05/2015","Shell","SHELL OIL 57444213706","54.19","debit","Gas & Fuel","Chase Amazon Rewards CC","",""
"3/05/2015","Cafe Latte","CAFE LATTEA","10.09","debit","Coffee Shops","Chase Amazon Rewards CC","",""
"3/05/2015","Transfer to Simple Account","SIMPLE           TRANSFERSPPD ID: 6271328799","1500.00","debit","Transfer","Chase Checking","",""
"3/05/2015","Mango clothes","PAYPAL           INST XFER  MANGOLINEIN     WEB ID: PAYPALSI77","55.04","debit","Unplanned","Chase Checking","",""
"3/05/2015","Onlycoin return","DEBIT CARD CREDIT 8754640002 VIS 0304 ONLYCOINCOM XXXXX4000 CA","55.00","credit","Unplanned","Spend - everyday spending","",""
"3/04/2015","Simple Challengesppd Id","SIMPLE           CHALLENGESPPD ID: 4271328799","0.76","credit","Hide from Budgets & Trends","Chase Checking","",""
"3/04/2015","Payback Tiffany","VENMO            PAYMENT    50365771        CCD ID: 2264681992","2500.00","debit","Hide from Budgets & Trends","Chase Checking","",""
"3/04/2015","Simple Challengesppd Id","SIMPLE           CHALLENGESPPD ID: 4271328799","1.06","debit","Hide from Budgets & Trends","Chase Checking","",""
"3/04/2015","Simple Challengesppd Id","SIMPLE           CHALLENGESPPD ID: 4271328799","0.30","credit","Hide from Budgets & Trends","Chase Checking","",""
"3/04/2015","Transfer to Chase Amazon Rewards CC","Payment to Chase card ending in6781","900.00","debit","Credit card","Chase Checking","",""
"3/04/2015","Transfer from Chase Checking","Payment Thank You - Web","900.00","credit","Credit Card Payment","Chase Amazon Rewards CC","",""
"3/03/2015","99 Chicken for potluck","99 CHICKEN","37.00","debit","Fast Food","Chase Amazon Rewards CC","",""
"3/03/2015","Com Tam Thanh","COM TAM THANH","21.00","debit","Restaurants","Chase Amazon Rewards CC","",""
"3/03/2015","T-Mobile","T-MOBILE.COM*PAYMENT","206.82","debit","Mobile Phone","Chase Amazon Rewards CC","",""
"3/02/2015","Initial transfer to simple","SIMPLE           TRANSFERPPD ID: 9233016517","100.00","debit","To checking","Chase Checking","",""
"3/02/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2263948        WEB ID: 1743132639","43.86","debit","Investment","Chase Checking","",""
"3/02/2015","Conservice","CONSERVICE       AEFT0301APPD ID: 2870660875","66.13","debit","Water/Sewer/Garbage","Chase Checking","",""
"3/02/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2263949        WEB ID: 1743132639","25.00","debit","Investment","Chase Checking","",""
"3/02/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2265155        WEB ID: 1743132639","30.00","debit","Investment","Chase Checking","",""
"3/02/2015","Acorns Investmen Web","Acorns Investmen WEB PMTS   VG46T2          WEB ID: 9000142693","8.61","debit","Investment","Chase Checking","",""
"3/02/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2263920        WEB ID: 1743132639","18.47","debit","Investment","Chase Checking","",""
"3/01/2015","Camera lens","PAYPAL *BUYDIG","169.99","debit","Unplanned","Chase Amazon Rewards CC","",""
"3/01/2015","Fireside Pizza","FIRESIDE PIZZA CO","18.00","debit","Restaurants","Chase Amazon Rewards CC","",""
"2/27/2015","Linkedin Corpora Direct","LINKEDIN CORPORA DIRECT DEPPPD ID: 9111111102","2180.64","credit","Paycheck","Chase Checking","",""
"2/27/2015","Geico","GEICO  *AUTO","107.18","debit","Auto Insurance","Chase Amazon Rewards CC","",""
"2/27/2015","Locker at squaw","SMARTE CARTE","7.00","debit","Unplanned","Chase Amazon Rewards CC","",""
"2/27/2015","Fdic Interest","FDIC Interest","0.83","credit","Interest Income","investment","",""
"2/26/2015","PayPal","PAYPAL           INST XFER  JACKTHREADS     WEB ID: PAYPALSI77","6.55","debit","Unplanned","Chase Checking","",""
"2/26/2015","Ocha Tea Cafe","OCHA TEA CAFE & RESTAURAN","44.00","debit","Restaurants","Chase Amazon Rewards CC","",""
"2/26/2015","Amazon","Amazon.com","9.21","debit","Unplanned","Chase Amazon Rewards CC","",""
"2/26/2015","Sfo Parking It","SFO PARKING IT-A LEQ96","8.00","debit","Unplanned","Chase Amazon Rewards CC","",""
"2/26/2015","Amazon","Amazon.com","24.91","debit","Unplanned","Chase Amazon Rewards CC","",""
"2/26/2015","Amazon","Amazon.com","2.20","debit","Unplanned","Chase Amazon Rewards CC","",""
"2/26/2015","Amazon","Amazon.com","12.00","debit","Unplanned","Chase Amazon Rewards CC","",""
"2/26/2015","Amazon","Amazon.com","8.12","debit","Unplanned","Chase Amazon Rewards CC","",""
"2/26/2015","Buy Stockorder posting","Buy Stockorder posting","10681.13","debit","Stocks","investment","",""
"2/25/2015","Ocha Tea Cafe","OCHA TEA CAFE & RESTAURAN","8.55","debit","Coffee Shops","Chase Amazon Rewards CC","",""
"2/25/2015","Pgande Web Online","PGANDE           WEB ONLINE 27844832020515  WEB ID: 5940742640","28.85","debit","Utilities","Chase Checking","",""
"2/25/2015","E Trade Ach","E*TRADE          ACH TRNSFRPPD ID: 1391321258","3408.00","credit","Stocks","Chase Checking","",""
"2/25/2015","Capital One Deposit","CAPITAL ONE 360 DEPOSIT XXXX8081","9000.00","credit","Income","investment","",""
"2/24/2015","Mangolinein","PAYPAL *MANGOLINEIN","587.15","debit","Unplanned","Chase Amazon Rewards CC","",""
"2/24/2015","Ranch","99 RANCH #1772","15.45","debit","Groceries","Chase Amazon Rewards CC","",""
"2/24/2015","Acorns Investmen Web","Acorns Investmen WEB PMTS   4KPSS2          WEB ID: 9000142693","5.35","debit","Investment","Chase Checking","",""
"2/23/2015","Acorns Investmen Web","Acorns Investmen WEB PMTS   TFTNS2          WEB ID: 9000142693","9.38","debit","Investment","Chase Checking","",""
"2/23/2015","Com Tam Thanh","COM TAM THANH MILPITAS CA02/20","16.00","debit","Restaurants","Chase Checking","",""
"2/23/2015","Ranch","99 RANCH #1772","34.95","debit","Groceries","Chase Amazon Rewards CC","",""
"2/22/2015","Amazon","Amazon.com","21.62","debit","Unplanned","Chase Amazon Rewards CC","",""
"2/22/2015","Walgreens","WALGREENS #689","10.86","debit","Unplanned","Chase Amazon Rewards CC","",""
"2/22/2015","Ocha Tea Cafe","OCHA TEA CAFE & RESTAURAN","4.40","debit","Coffee Shops","Chase Amazon Rewards CC","",""
"2/22/2015","Pho Avenue","PHO AVENUE","10.00","debit","Restaurants","Chase Amazon Rewards CC","",""
"2/20/2015","Auto Loan","Online Payment 4424251871 To Auto Loan 2711","505.30","debit","Auto Payment","Chase Checking","",""
"2/20/2015","Anh Nai gui Tet","VENMO            CASHOUT    47964651        CCD ID: 1264681992","90.01","credit","Unplanned","Chase Checking","",""
"2/20/2015","Walgreens","WALGREENS 121 E EL C MOUNTAIN VIEW CA661849  02/19","75.32","debit","Unplanned","Chase Checking","",""
"2/20/2015","Olink TID 28482475","Olink TID 28482475","11947.82","credit","Stocks","Individual Brokerage","",""
"2/19/2015","Bk Amer Online","BK OF AMER MC    ONLINE PMT CKF287593498POS WEB ID: 9500000000","2527.98","debit","Credit card","Chase Checking","",""
"2/19/2015","Domino's Pizza","DOMINO'S 7931 MOUNTAIN VIEW CA02/19","11.00","debit","Fast Food","Chase Checking","",""
"2/19/2015","Banana Br Epay","Banana Visa      BR EPAY    808744819       WEB ID: 9130142001","53.17","debit","Credit card","Chase Checking","",""
"2/19/2015","Roam Artisan Burgers","ROAM ARTISAN BURGERS","17.16","debit","Restaurants","Chase Amazon Rewards CC","",""
"2/19/2015","Sell Stockorder posting","Sell Stockorder posting","4692.70","credit","Stocks","investment","",""
"2/18/2015","Pay Chase slate","Payment Thank You - Web","1186.00","credit","Credit Card Payment","Chase Slate","",""
"2/18/2015","Transfer from Chase Checking","Payment Thank You - Web","1292.21","credit","Credit Card Payment","Chase Amazon Rewards CC","",""
"2/18/2015","Amazon","Amazon.com","12.55","debit","Unplanned","Chase Amazon Rewards CC","",""
"2/18/2015","Pho Avenue","PHO AVENUE","12.00","debit","Restaurants","Chase Amazon Rewards CC","",""
"2/18/2015","cho anh Nai","PAYPAL           INST XFER  SCCTECHCO       WEB ID: PAYPALSI77","222.22","debit","Investment","Chase Checking","",""
"2/18/2015","cho anh Nai","PAYPAL           INST XFER  SCCTECHCO       WEB ID: PAYPALSI77","7777.77","debit","Investment","Chase Checking","",""
"2/18/2015","Betterment Transfer A","BETTERMENT       TRANSFER   A2213225        WEB ID: 1743132639","8000.00","debit","Investment","Chase Checking","",""
"2/18/2015","Shell","SHELL Service Statio MOUNTAIN VIEW CA021786  02/18","37.90","debit","Gas & Fuel","Chase Checking","",""
"2/18/2015","Acorns Investmen Web","Acorns Investmen WEB PMTS   YLLCS2          WEB ID: 9000142693","6.79","debit","Investment","Chase Checking","",""
"2/18/2015","Acorns Investmen Web","Acorns Investmen WEB PMTS   28MCS2          WEB ID: 9000142693","6.81","debit","Investment","Chase Checking","",""
"2/18/2015","Acorns Investmen Web","Acorns Investmen WEB PMTS   2Q3DS2          WEB ID: 9000142693","51.01","debit","Investment","Chase Checking","",""
"2/18/2015","Transfer to Chase Amazon Rewards CC","Payment to Chase card ending in6781","1292.21","debit","Credit card","Chase Checking","",""
"2/18/2015","Transfer to Chase Slate","Payment to Chase card ending in0427","1186.00","debit","Credit card","Chase Checking","",""
"2/18/2015","Transfer to Chase Southwest CC","Payment to Chase card ending in9206","2525.67","debit","Credit card","Chase Checking","",""
"2/18/2015","Transfer from Chase Checking","BA ELECTRONIC PAYMENT","2527.98","credit","Credit Card Payment","BankAmericard Platinum Plus Visa","",""
"2/18/2015","Pay Chase Southwest","Payment Thank You - Web","2525.67","credit","Credit Card Payment","Chase Southwest CC","",""
"2/17/2015","Pool with EP","SQ *AJ'S 20/20 CLUB","13.75","debit","Alcohol & Bars","Chase Amazon Rewards CC","",""
"2/17/2015","Transfer from Chase Checking","Payment Thank You-Mobile","2000.00","credit","Credit Card Payment","Chase Amazon Rewards CC","",""
"2/17/2015","Com Tam Thanh","COM TAM THANH","12.00","debit","Restaurants","Chase Amazon Rewards CC","",""
"2/17/2015","E Trade Ach","E*TRADE          ACH TRNSFRPPD ID: 1391321258","34000.00","credit","Investment","Chase Checking","",""
"2/17/2015","Boba","OCHA TEA CAFE & REST MOUNTAIN VIEW CA        02/16","4.40","debit","Coffee Shops","Chase Checking","",""
"2/17/2015","Transfer to Chase Amazon Rewards CC","Payment to Chase card ending in6781","2000.00","debit","Credit card","Chase Checking","",""
"2/17/2015","Google music","PAYPAL           INST XFER  GOOGLE PLAY     WEB ID: PAYPALSI77","9.99","debit","Unplanned","Chase Checking","",""
"2/17/2015","Withdrawl Refid","ACH WITHDRAWL REFID:12010642749;","6000.00","debit","Stocks","Individual Brokerage","",""
"2/17/2015","Withdrawl Refid","ACH WITHDRAWL REFID:11996316749;","34000.00","debit","Stocks","Individual Brokerage","",""
"2/16/2015","Interest Charged Dir","INTEREST CHARGED ON DIR DEP&CHK CASHADV C_BANKCHARGES","0.00","credit","Interest Income","BankAmericard Platinum Plus Visa","",""
"2/16/2015","Interest Charged Purchases","INTEREST CHARGED ON PURCHASES C_BANKCHARGES","0.00","credit","Interest Income","BankAmericard Platinum Plus Visa","",""
"2/16/2015","Interest Charged Bank","INTEREST CHARGED ON BANK CASH ADVANCES C_BANKCHARGES","0.00","credit","Interest Income","BankAmericard Platinum Plus Visa","",""
"2/16/2015","Interest Charged Balance","INTEREST CHARGED ON BALANCE TRANSFERS C_BANKCHARGES","0.00","credit","Interest Income","BankAmericard Platinum Plus Visa","",""
"2/16/2015","Crepevine Mt View","CREPEVINE (MT. VIEW)","21.00","debit","Restaurants","Chase Amazon Rewards CC","",""
"2/16/2015","Sydney Beauty Salon","SYDNEY BEAUTY SALON","23.00","debit","Unplanned","Chase Amazon Rewards CC","",""
"2/16/2015","Sushitomi","SUSHITOMI","60.00","debit","Restaurants","Chase Amazon Rewards CC","",""
"2/16/2015","Plate mats and willie","SFMOMA MUSEUMSTORE SFO","43.77","debit","Unplanned","Chase Amazon Rewards CC","",""
"2/16/2015","Ocha Tea Cafe","OCHA TEA CAFE & RESTAURAN","4.40","debit","Coffee Shops","Chase Amazon Rewards CC","",""
"2/16/2015","Sfo Parking It","SFO PARKING IT-A LEQ96","8.00","debit","Unplanned","Chase Amazon Rewards CC","",""
"2/15/2015","99 RANCH #1072","99 RANCH #1772","28.88","debit","Groceries","Chase Amazon Rewards CC","",""
"2/15/2015","Gift for Tiffany's Mom","NORDSTROM #0425","130.50","debit","Unplanned","Chase Amazon Rewards CC","",""
"2/15/2015","Safeway","SAFEWAY  STORE00011965","6.99","debit","Groceries","Chase Amazon Rewards CC","",""
"2/15/2015","Cable","WAL-MART #2280","8.66","debit","Unplanned","Chase Amazon Rewards CC","",""
"2/13/2015","Send to Mom","CHECK 21215","500.00","debit","Send to family","Chase Checking","",""
"2/13/2015","LINKEDIN CORPORA DIRECT DEP PPD","LINKEDIN CORPORA DIRECT DEPPPD ID: 9111111102","2180.62","credit","Paycheck","Chase Checking","",""
"2/13/2015","Acorns Investmen WEB PMTS WEB NJ33S2","Acorns Investmen WEB PMTS   NJ33S2          WEB ID: 9000142693","101.90","debit","Investment","Chase Checking","",""
"2/13/2015","Interest Charge","PURCHASE INTEREST CHARGE","43.70","debit","Unplanned","Chase Amazon Rewards CC","",""
"2/13/2015","Com Tam Thanh","COM TAM THANH","9.00","debit","Restaurants","Chase Amazon Rewards CC","",""
"2/13/2015","Gift for Tiffany's Mom","NORDSTROM #0425","130.50","debit","Unplanned","Chase Amazon Rewards CC","",""
"2/13/2015","Shell","SHELL OIL 57444213706","35.69","debit","Gas & Fuel","Chase Amazon Rewards CC","",""
"2/13/2015","HUONG LAN SANDWICHES 4 &","HUONG LAN SANDWICHES 4 &","9.24","debit","Restaurants","Chase Amazon Rewards CC","",""
"2/12/2015","Parking Concepts","PARKING CONCEPTS INC LOC","10.00","debit","Unplanned","Chase Amazon Rewards CC","",""
"2/12/2015","Bk Amer Online","BK OF AMER MC    ONLINE PMT CKF287593498POS WEB ID: 9500000000","25.00","debit","Credit Card Payment","Chase Checking","",""
"2/11/2015","Acorns Investmen Web","Acorns Investmen WEB PMTS   K55YR2          WEB ID: 9000142693","5.66","debit","Investment","Chase Checking","",""
"2/11/2015","Transfer from Chase Checking","BA ELECTRONIC PAYMENT","25.00","credit","Credit Card Payment","BankAmericard Platinum Plus Visa","",""
"2/11/2015","Ocha Tea Cafe","OCHA TEA CAFE & RESTAURAN","8.30","debit","Coffee Shops","Chase Amazon Rewards CC","",""
"2/10/2015","Pizza studio","THE PIZZA STUDIO - MOU","9.78","debit","Restaurants","Chase Amazon Rewards CC","",""
"2/10/2015","Transfer from Chase Checking","AUTOMATIC PAYMENT - THANK","12.00","credit","Credit Card Payment","Chase freedom CC","",""
